,tid,ttid,did,name,task_type,status,estimation_procedure,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
3,3,TaskType.SUPERVISED_CLASSIFICATION,3,kr-vs-kp,Supervised Classification,active,10-fold Crossvalidation,3,class,1669,3.0,1527,2,37,3196,0,0,0,37
6,6,TaskType.SUPERVISED_CLASSIFICATION,6,letter,Supervised Classification,active,10-fold Crossvalidation,6,class,813,26.0,734,26,17,20000,0,0,16,1
11,11,TaskType.SUPERVISED_CLASSIFICATION,11,balance-scale,Supervised Classification,active,10-fold Crossvalidation,11,class,288,3.0,49,3,5,625,0,0,4,1
12,12,TaskType.SUPERVISED_CLASSIFICATION,12,mfeat-factors,Supervised Classification,active,10-fold Crossvalidation,12,class,200,10.0,200,10,217,2000,0,0,216,1
14,14,TaskType.SUPERVISED_CLASSIFICATION,14,mfeat-fourier,Supervised Classification,active,10-fold Crossvalidation,14,class,200,10.0,200,10,77,2000,0,0,76,1
15,15,TaskType.SUPERVISED_CLASSIFICATION,15,breast-w,Supervised Classification,active,10-fold Crossvalidation,15,Class,458,2.0,241,2,10,699,16,16,9,1
16,16,TaskType.SUPERVISED_CLASSIFICATION,16,mfeat-karhunen,Supervised Classification,active,10-fold Crossvalidation,16,class,200,10.0,200,10,65,2000,0,0,64,1
18,18,TaskType.SUPERVISED_CLASSIFICATION,18,mfeat-morphological,Supervised Classification,active,10-fold Crossvalidation,18,class,200,10.0,200,10,7,2000,0,0,6,1
22,22,TaskType.SUPERVISED_CLASSIFICATION,22,mfeat-zernike,Supervised Classification,active,10-fold Crossvalidation,22,class,200,10.0,200,10,48,2000,0,0,47,1
23,23,TaskType.SUPERVISED_CLASSIFICATION,23,cmc,Supervised Classification,active,10-fold Crossvalidation,23,Contraceptive_method_used,629,4.0,333,3,10,1473,0,0,2,8
28,28,TaskType.SUPERVISED_CLASSIFICATION,28,optdigits,Supervised Classification,active,10-fold Crossvalidation,28,class,572,10.0,554,10,65,5620,0,0,64,1
29,29,TaskType.SUPERVISED_CLASSIFICATION,29,credit-approval,Supervised Classification,active,10-fold Crossvalidation,29,class,383,14.0,307,2,16,690,37,67,6,10
31,31,TaskType.SUPERVISED_CLASSIFICATION,31,credit-g,Supervised Classification,active,10-fold Crossvalidation,31,class,700,10.0,300,2,21,1000,0,0,7,14
32,32,TaskType.SUPERVISED_CLASSIFICATION,32,pendigits,Supervised Classification,active,10-fold Crossvalidation,32,class,1144,10.0,1055,10,17,10992,0,0,16,1
37,37,TaskType.SUPERVISED_CLASSIFICATION,37,diabetes,Supervised Classification,active,10-fold Crossvalidation,37,class,500,2.0,268,2,9,768,0,0,8,1
43,43,TaskType.SUPERVISED_CLASSIFICATION,44,spambase,Supervised Classification,active,10-fold Crossvalidation,44,class,2788,2.0,1813,2,58,4601,0,0,57,1
45,45,TaskType.SUPERVISED_CLASSIFICATION,46,splice,Supervised Classification,active,10-fold Crossvalidation,46,Class,1655,6.0,767,3,61,3190,0,0,0,61
49,49,TaskType.SUPERVISED_CLASSIFICATION,50,tic-tac-toe,Supervised Classification,active,10-fold Crossvalidation,50,Class,626,3.0,332,2,10,958,0,0,0,10
53,53,TaskType.SUPERVISED_CLASSIFICATION,54,vehicle,Supervised Classification,active,10-fold Crossvalidation,54,Class,218,4.0,199,4,19,846,0,0,18,1
219,219,TaskType.SUPERVISED_CLASSIFICATION,151,electricity,Supervised Classification,active,10-fold Crossvalidation,151,class,26075,7.0,19237,2,9,45312,0,0,7,2
2074,2074,TaskType.SUPERVISED_CLASSIFICATION,182,satimage,Supervised Classification,active,10-fold Crossvalidation,182,class,1531,6.0,625,6,37,6430,0,0,36,1
2079,2079,TaskType.SUPERVISED_CLASSIFICATION,188,eucalyptus,Supervised Classification,active,10-fold Crossvalidation,188,Utility,214,27.0,105,5,20,736,95,448,14,6
3021,3021,TaskType.SUPERVISED_CLASSIFICATION,38,sick,Supervised Classification,active,10-fold Crossvalidation,38,Class,3541,5.0,231,2,30,3772,3772,6064,7,23
3022,3022,TaskType.SUPERVISED_CLASSIFICATION,307,vowel,Supervised Classification,active,10-fold Crossvalidation,307,Class,90,15.0,90,11,13,990,0,0,10,3
3481,3481,TaskType.SUPERVISED_CLASSIFICATION,300,isolet,Supervised Classification,active,10-fold Crossvalidation,300,class,300,26.0,298,26,618,7797,0,0,617,1
3549,3549,TaskType.SUPERVISED_CLASSIFICATION,458,analcatdata_authorship,Supervised Classification,active,10-fold Crossvalidation,458,Author,317,4.0,55,4,71,841,0,0,70,1
3560,3560,TaskType.SUPERVISED_CLASSIFICATION,469,analcatdata_dmft,Supervised Classification,active,10-fold Crossvalidation,469,Prevention,155,9.0,123,6,5,797,0,0,0,5
3573,3573,TaskType.SUPERVISED_CLASSIFICATION,554,mnist_784,Supervised Classification,active,10-fold Crossvalidation,554,class,7877,10.0,6313,10,785,70000,0,0,784,1
3902,3902,TaskType.SUPERVISED_CLASSIFICATION,1049,pc4,Supervised Classification,active,10-fold Crossvalidation,1049,c,1280,2.0,178,2,38,1458,0,0,37,1
3903,3903,TaskType.SUPERVISED_CLASSIFICATION,1050,pc3,Supervised Classification,active,10-fold Crossvalidation,1050,c,1403,2.0,160,2,38,1563,0,0,37,1
3904,3904,TaskType.SUPERVISED_CLASSIFICATION,1053,jm1,Supervised Classification,active,10-fold Crossvalidation,1053,defects,8779,2.0,2106,2,22,10885,5,25,21,1
3913,3913,TaskType.SUPERVISED_CLASSIFICATION,1063,kc2,Supervised Classification,active,10-fold Crossvalidation,1063,problems,415,2.0,107,2,22,522,0,0,21,1
3917,3917,TaskType.SUPERVISED_CLASSIFICATION,1067,kc1,Supervised Classification,active,10-fold Crossvalidation,1067,defects,1783,2.0,326,2,22,2109,0,0,21,1
3918,3918,TaskType.SUPERVISED_CLASSIFICATION,1068,pc1,Supervised Classification,active,10-fold Crossvalidation,1068,defects,1032,2.0,77,2,22,1109,0,0,21,1
7592,7592,TaskType.SUPERVISED_CLASSIFICATION,1590,adult,Supervised Classification,active,10-fold Crossvalidation,1590,class,37155,41.0,11687,2,15,48842,3620,6465,6,9
9910,9910,TaskType.SUPERVISED_CLASSIFICATION,4134,Bioresponse,Supervised Classification,active,10-fold Crossvalidation,4134,target,2034,2.0,1717,2,1777,3751,0,0,1776,1
9946,9946,TaskType.SUPERVISED_CLASSIFICATION,1510,wdbc,Supervised Classification,active,10-fold Crossvalidation,1510,Class,357,2.0,212,2,31,569,0,0,30,1
9952,9952,TaskType.SUPERVISED_CLASSIFICATION,1489,phoneme,Supervised Classification,active,10-fold Crossvalidation,1489,Class,3818,2.0,1586,2,6,5404,0,0,5,1
9957,9957,TaskType.SUPERVISED_CLASSIFICATION,1494,qsar-biodeg,Supervised Classification,active,10-fold Crossvalidation,1494,Class,699,2.0,356,2,42,1055,0,0,41,1
9960,9960,TaskType.SUPERVISED_CLASSIFICATION,1497,wall-robot-navigation,Supervised Classification,active,10-fold Crossvalidation,1497,Class,2205,4.0,328,4,25,5456,0,0,24,1
9964,9964,TaskType.SUPERVISED_CLASSIFICATION,1501,semeion,Supervised Classification,active,10-fold Crossvalidation,1501,Class,162,10.0,155,10,257,1593,0,0,256,1
9971,9971,TaskType.SUPERVISED_CLASSIFICATION,1480,ilpd,Supervised Classification,active,10-fold Crossvalidation,1480,Class,416,2.0,167,2,11,583,0,0,9,2
9976,9976,TaskType.SUPERVISED_CLASSIFICATION,1485,madelon,Supervised Classification,active,10-fold Crossvalidation,1485,Class,1300,2.0,1300,2,501,2600,0,0,500,1
9977,9977,TaskType.SUPERVISED_CLASSIFICATION,1486,nomao,Supervised Classification,active,10-fold Crossvalidation,1486,Class,24621,3.0,9844,2,119,34465,0,0,89,30
9978,9978,TaskType.SUPERVISED_CLASSIFICATION,1487,ozone-level-8hr,Supervised Classification,active,10-fold Crossvalidation,1487,Class,2374,2.0,160,2,73,2534,0,0,72,1
9981,9981,TaskType.SUPERVISED_CLASSIFICATION,1468,cnae-9,Supervised Classification,active,10-fold Crossvalidation,1468,Class,120,9.0,120,9,857,1080,0,0,856,1
9985,9985,TaskType.SUPERVISED_CLASSIFICATION,1475,first-order-theorem-proving,Supervised Classification,active,10-fold Crossvalidation,1475,Class,2554,6.0,486,6,52,6118,0,0,51,1
10093,10093,TaskType.SUPERVISED_CLASSIFICATION,1462,banknote-authentication,Supervised Classification,active,10-fold Crossvalidation,1462,Class,762,2.0,610,2,5,1372,0,0,4,1
10101,10101,TaskType.SUPERVISED_CLASSIFICATION,1464,blood-transfusion-service-center,Supervised Classification,active,10-fold Crossvalidation,1464,Class,570,2.0,178,2,5,748,0,0,4,1
14952,14952,TaskType.SUPERVISED_CLASSIFICATION,4534,PhishingWebsites,Supervised Classification,active,10-fold Crossvalidation,4534,Result,6157,3.0,4898,2,31,11055,0,0,0,31
14954,14954,TaskType.SUPERVISED_CLASSIFICATION,6332,cylinder-bands,Supervised Classification,active,10-fold Crossvalidation,6332,band_type,312,71.0,228,2,40,540,263,999,18,22
14965,14965,TaskType.SUPERVISED_CLASSIFICATION,1461,bank-marketing,Supervised Classification,active,10-fold Crossvalidation,1461,Class,39922,12.0,5289,2,17,45211,0,0,7,10
14969,14969,TaskType.SUPERVISED_CLASSIFICATION,4538,GesturePhaseSegmentationProcessed,Supervised Classification,active,10-fold Crossvalidation,4538,Phase,2950,5.0,998,5,33,9873,0,0,32,1
14970,14970,TaskType.SUPERVISED_CLASSIFICATION,1478,har,Supervised Classification,active,10-fold Crossvalidation,1478,Class,1944,6.0,1406,6,562,10299,0,0,561,1
125920,125920,TaskType.SUPERVISED_CLASSIFICATION,23381,dresses-sales,Supervised Classification,active,10-fold Crossvalidation,23381,Class,290,24.0,210,2,13,500,401,835,1,12
125922,125922,TaskType.SUPERVISED_CLASSIFICATION,40499,texture,Supervised Classification,active,10-fold Crossvalidation,40499,Class,500,11.0,500,11,41,5500,0,0,40,1
146195,146195,TaskType.SUPERVISED_CLASSIFICATION,40668,connect-4,Supervised Classification,active,10-fold Crossvalidation,40668,class,44473,,6449,3,43,67557,0,0,0,43
146800,146800,TaskType.SUPERVISED_CLASSIFICATION,40966,MiceProtein,Supervised Classification,active,10-fold Crossvalidation,40966,class,150,8.0,105,8,82,1080,528,1396,77,5
146817,146817,TaskType.SUPERVISED_CLASSIFICATION,40982,steel-plates-fault,Supervised Classification,active,10-fold Crossvalidation,40982,target,673,7.0,55,7,28,1941,0,0,27,1
146819,146819,TaskType.SUPERVISED_CLASSIFICATION,40994,climate-model-simulation-crashes,Supervised Classification,active,10-fold Crossvalidation,40994,outcome,494,2.0,46,2,21,540,0,0,20,1
146820,146820,TaskType.SUPERVISED_CLASSIFICATION,40983,wilt,Supervised Classification,active,10-fold Crossvalidation,40983,class,4578,2.0,261,2,6,4839,0,0,5,1
146821,146821,TaskType.SUPERVISED_CLASSIFICATION,40975,car,Supervised Classification,active,10-fold Crossvalidation,40975,class,1210,4.0,65,4,7,1728,0,0,0,7
146822,146822,TaskType.SUPERVISED_CLASSIFICATION,40984,segment,Supervised Classification,active,10-fold Crossvalidation,40984,class,330,7.0,330,7,20,2310,0,0,19,1
146824,146824,TaskType.SUPERVISED_CLASSIFICATION,40979,mfeat-pixel,Supervised Classification,active,10-fold Crossvalidation,40979,class,200,10.0,200,10,241,2000,0,0,240,1
146825,146825,TaskType.SUPERVISED_CLASSIFICATION,40996,Fashion-MNIST,Supervised Classification,active,10-fold Crossvalidation,40996,class,7000,10.0,7000,10,785,70000,0,0,784,1
167119,167119,TaskType.SUPERVISED_CLASSIFICATION,41027,jungle_chess_2pcs_raw_endgame_complete,Supervised Classification,active,10-fold Crossvalidation,41027,class,23062,3.0,4335,3,7,44819,0,0,6,1
167120,167120,TaskType.SUPERVISED_CLASSIFICATION,23517,numerai28.6,Supervised Classification,active,10-fold Crossvalidation,23517,attribute_21,48658,2.0,47662,2,22,96320,0,0,21,1
167121,167121,TaskType.SUPERVISED_CLASSIFICATION,40923,Devnagari-Script,Supervised Classification,active,10-fold Crossvalidation,40923,character,2000,46.0,2000,46,1025,92000,0,0,1024,1
167124,167124,TaskType.SUPERVISED_CLASSIFICATION,40927,CIFAR_10,Supervised Classification,active,10-fold Crossvalidation,40927,class,6000,10.0,6000,10,3073,60000,0,0,3072,1
167125,167125,TaskType.SUPERVISED_CLASSIFICATION,40978,Internet-Advertisements,Supervised Classification,active,10-fold Crossvalidation,40978,class,2820,2.0,459,2,1559,3279,0,0,3,1556
167140,167140,TaskType.SUPERVISED_CLASSIFICATION,40670,dna,Supervised Classification,active,10-fold Crossvalidation,40670,class,1654,3.0,765,3,181,3186,0,0,0,181
167141,167141,TaskType.SUPERVISED_CLASSIFICATION,40701,churn,Supervised Classification,active,10-fold Crossvalidation,40701,class,4293,10.0,707,2,21,5000,0,0,16,5
